data,cases,delta_cases,avg_3gg,delta_contagi_prot,ew_cases_normalized,swabs_rl,positive_swabs_percentage,new_cases,new_cases_test_percentage,cumulative_cases_screening,daily_cases_screening,var_percentage
23-ago-20,98426,113,,113,132,7700,1.468,5890,1.919,,,
24-ago-20,98545,119,,119,108,9900,1.202,7100,1.676,,,
25-ago-20,98811,266,,266,145,16500,1.612,12000,2.217,,,
26-ago-20,99097,286,,289,143,18000,1.606,13400,2.157,,,
27-ago-20,99416,319,,319,146,19700,1.619,14400,2.215,,,
28-ago-20,99705,289,,289,139,18700,1.545,14000,2.064,,,
29-ago-20,99940,235,,235,165,12850,1.829,9500,2.474,,,
30-ago-20,100075,135,,135,123,9850,1.371,7500,1.800,,,
31-ago-20,100317,242,,242,134,16200,1.494,11900,2.034,,,
01-set-20,100554,237,,237,125,17080,1.388,12460,1.902,,,
02-set-20,100782,228,,228,146,14080,1.619,9500,2.400,,,
03-set-20,101119,337,,337,111,27300,1.234,20000,1.685,,,
04-set-20,101507,388,,388,149,23400,1.658,16500,2.352,,,
05-set-20,101705,198,,198,147,12100,1.636,8250,2.400,,,
06-set-20,101814,109,,109,109,9000,1.211,6750,1.615,,,
07-set-20,102085,271,,271,118,20700,1.309,13500,2.007,,,
08-set-20,102303,218,,218,92,21350,1.021,14200,1.535,,,
09-set-20,102548,245,,245,127,17400,1.408,11350,2.159,,,
10-set-20,102805,257,,257,129,18000,1.428,11450,2.245,,,
11-set-20,103074,269,,269,147,16500,1.630,10100,2.663,,,
12-set-20,103339,265,,265,186,12850,2.062,8400,3.155,,,
13-set-20,103464,125,,125,142,7900,1.582,5100,2.451,,,
14-set-20,103640,176,,176,82,19400,0.907,14300,1.231,,,
15-set-20,103799,159,,159,80,17800,0.893,11900,1.336,,,
16-set-20,104080,281,,281,116,21750,1.292,13400,2.097,,,
17-set-20,104304,224,,224,120,16800,1.333,10250,2.185,,,
18-set-20,104547,243,,243,101,21700,1.120,13000,1.869,,,
19-set-20,104758,211,,211,127,15000,1.407,9500,2.221,,,
20-set-20,104848,90,,90,81,10000,0.900,6700,1.343,,,
